language_group_name,range_start,range_end
Basic Latin,\u0000,\u007f
Latin-1 Supplement,\u0080,\u00ff
Latin Extended-A,\u0100,\u017f
Latin Extended-B,\u0180,\u024f
IPA Extensions,\u0250,\u02af
Spacing Modifier Letters,\u02b0,\u02ff
Combining Diacritical Marks,\u0300,\u036f
Greek and Coptic,\u0370,\u03ff
Cyrillic,\u0400,\u04ff
Cyrillic Supplement,\u0500,\u0527
Armenian,\u0531,\u058a
Hebrew,\u0591,\u05f4
Arabic,\u0600,\u06ff
Syriac,\u0700,\u074f
Arabic Supplement,\u0750,\u077f
Thaana,\u0780,\u07b1
NKo,\u07c0,\u07fa
Samaritan,\u0800,\u083e
Mandaic,\u0840,\u085e
Devanagari,\u0900,\u097f
Bengali,\u0981,\u09fb
Gurmukhi,\u0a01,\u0a75
Gujarati,\u0a81,\u0af1
Oriya,\u0b01,\u0b77
Tamil,\u0b82,\u0bfa
Telugu,\u0c01,\u0c7f
Kannada,\u0c82,\u0cf2
Malayalam,\u0d02,\u0d7f
Sinhala,\u0d82,\u0df4
Thai,\u0e01,\u0e5b
Lao,\u0e81,\u0edd
Tibetan,\u0f00,\u0fda
Myanmar,\u1000,\u109f
Georgian,\u10a0,\u10fc
Hangul Jamo,\u1100,\u11ff
Ethiopic,\u1200,\u137c
Ethiopic Supplement,\u1380,\u1399
Cherokee,\u13a0,\u13f4
Unified Canadian Aboriginal Syllabics,\u1400,\u167f
Ogham,\u1680,\u169c
Runic,\u16a0,\u16f0
Tagalog,\u1700,\u1714
Hanunoo,\u1720,\u1736
Buhid,\u1740,\u1753
Tagbanwa,\u1760,\u1773
Khmer,\u1780,\u17f9
Mongolian,\u1800,\u18aa
Unified Canadian Aboriginal Syllabics Extended,\u18b0,\u18f5
Limbu,\u1900,\u194f
Tai Le,\u1950,\u1974
New Tai Lue,\u1980,\u19df
Khmer Symbols,\u19e0,\u19ff
Buginese,\u1a00,\u1a1f
Tai Tham,\u1a20,\u1aad
Balinese,\u1b00,\u1b7c
Sundanese,\u1b80,\u1bb9
Batak,\u1bc0,\u1bff
Lepcha,\u1c00,\u1c4f
Ol Chiki,\u1c50,\u1c7f
Vedic Extensions,\u1cd0,\u1cf2
Phonetic Extensions,\u1d00,\u1d7f
Phonetic Extensions Supplement,\u1d80,\u1dbf
Combining Diacritical Marks Supplement,\u1dc0,\u1dff
Latin Extended Additional,\u1e00,\u1eff
Greek Extended,\u1f00,\u1ffe
General Punctuation,\u2000,\u206f
Superscripts and Subscripts,\u2070,\u209c
Currency Symbols,\u20a0,\u20b9
Combining Diacritical Marks for Symbols,\u20d0,\u20f0
Letterlike Symbols,\u2100,\u214f
Number Forms,\u2150,\u2189
Arrows,\u2190,\u21ff
Mathematical Operators,\u2200,\u22ff
Miscellaneous Technical,\u2300,\u23f3
Control Pictures,\u2400,\u2426
Optical Character Recognition,\u2440,\u244a
Enclosed Alphanumerics,\u2460,\u24ff
Box Drawing,\u2500,\u257f
Block Elements,\u2580,\u259f
Geometric Shapes,\u25a0,\u25ff
Miscellaneous Symbols,\u2600,\u26ff
Dingbats,\u2701,\u27bf
Miscellaneous Mathematical Symbols-A,\u27c0,\u27ef
Supplemental Arrows-A,\u27f0,\u27ff
Braille Patterns,\u2800,\u28ff
Supplemental Arrows-B,\u2900,\u297f
Miscellaneous Mathematical Symbols-B,\u2980,\u29ff
Supplemental Mathematical Operators,\u2a00,\u2aff
Miscellaneous Symbols and Arrows,\u2b00,\u2b59
Glagolitic,\u2c00,\u2c5e
Latin Extended-C,\u2c60,\u2c7f
Coptic,\u2c80,\u2cff
Georgian Supplement,\u2d00,\u2d25
Tifinagh,\u2d30,\u2d7f
Ethiopic Extended,\u2d80,\u2dde
Cyrillic Extended-A,\u2de0,\u2dff
Supplemental Punctuation,\u2e00,\u2e31
CJK Radicals Supplement,\u2e80,\u2ef3
Kangxi Radicals,\u2f00,\u2fd5
Ideographic Description Characters,\u2ff0,\u2ffb
CJK Symbols and Punctuation,\u3000,\u303f
Hiragana,\u3041,\u309f
Katakana,\u30a0,\u30ff
Bopomofo,\u3105,\u312d
Hangul Compatibility Jamo,\u3131,\u318e
Kanbun,\u3190,\u319f
Bopomofo Extended,\u31a0,\u31ba
CJK Strokes,\u31c0,\u31e3
Katakana Phonetic Extensions,\u31f0,\u31ff
Enclosed CJK Letters and Months,\u3200,\u32fe
CJK Compatibility,\u3300,\u33ff
CJK Unified Ideographs Extension A,\u3400,\u4db5
Yijing Hexagram Symbols,\u4dc0,\u4dff
CJK Unified Ideographs,\u4e00,\u9fcb
Yi Syllables,\ua000,\ua48c
Yi Radicals,\ua490,\ua4c6
Lisu,\ua4d0,\ua4ff
Vai,\ua500,\ua62b
Cyrillic Extended-B,\ua640,\ua697
Bamum,\ua6a0,\ua6f7
Modifier Tone Letters,\ua700,\ua71f
Latin Extended-D,\ua720,\ua7ff
Syloti Nagri,\ua800,\ua82b
Common Indic Number Forms,\ua830,\ua839
Phags-pa,\ua840,\ua877
Saurashtra,\ua880,\ua8d9
Devanagari Extended,\ua8e0,\ua8fb
Kayah Li,\ua900,\ua92f
Rejang,\ua930,\ua95f
Hangul Jamo Extended-A,\ua960,\ua97c
Javanese,\ua980,\ua9df
Cham,\uaa00,\uaa5f
Myanmar Extended-A,\uaa60,\uaa7b
Tai Viet,\uaa80,\uaadf
Ethiopic Extended-A,\uab01,\uab2e
Meetei Mayek,\uabc0,\uabf9
Hangul Syllables,\uac00,\ud7a3
Hangul Jamo Extended-B,\ud7b0,\ud7fb
High Surrogates,\ud800,\udb7f
High Private Use Surrogates,\udb80,\udbff
Low Surrogates,\udc00,\udfff
Private Use Area,\ue000,\uf8ff
CJK Compatibility Ideographs,\uf900,\ufad9
Alphabetic Presentation Forms,\ufb00,\ufb4f
Arabic Presentation Forms-A,\ufb50,\ufdfd
Variation Selectors,\ufe00,\ufe0f
Vertical Forms,\ufe10,\ufe19
Combining Half Marks,\ufe20,\ufe26
CJK Compatibility Forms,\ufe30,\ufe4f
Small Form Variants,\ufe50,\ufe6b
Arabic Presentation Forms-B,\ufe70,\ufeff
Halfwidth and Fullwidth Forms,\uff01,\uffee
Specials,\ufff9,\ufffd
Linear B Syllabary,\u10000,\u1005d
Linear B Ideograms,\u10080,\u100fa
Aegean Numbers,\u10100,\u1013f
Ancient Greek Numbers,\u10140,\u1018a
Ancient Symbols,\u10190,\u1019b
Phaistos Disc,\u101d0,\u101fd
Lycian,\u10280,\u1029c
Carian,\u102a0,\u102d0
Old Italic,\u10300,\u10323
Gothic,\u10330,\u1034a
Ugaritic,\u10380,\u1039f
Old Persian,\u103a0,\u103d5
Deseret,\u10400,\u1044f
Shavian,\u10450,\u1047f
Osmanya,\u10480,\u104a9
Cypriot Syllabary,\u10800,\u1083f
Imperial Aramaic,\u10840,\u1085f
Phoenician,\u10900,\u1091f
Lydian,\u10920,\u1093f
Kharoshthi,\u10a00,\u10a58
Old South Arabian,\u10a60,\u10a7f
Avestan,\u10b00,\u10b3f
Inscriptional Parthian,\u10b40,\u10b5f
Inscriptional Pahlavi,\u10b60,\u10b7f
Old Turkic,\u10c00,\u10c48
Rumi Numeral Symbols,\u10e60,\u10e7e
Brahmi,\u11000,\u1106f
Kaithi,\u11080,\u110c1
Cuneiform,\u12000,\u1236e
Cuneiform Numbers and Punctuation,\u12400,\u12473
Egyptian Hieroglyphs,\u13000,\u1342e
Bamum Supplement,\u16800,\u16a38
Kana Supplement,\u1b000,\u1b001
Byzantine Musical Symbols,\u1d000,\u1d0f5
Musical Symbols,\u1d100,\u1d1dd
Ancient Greek Musical Notation,\u1d200,\u1d245
Tai Xuan Jing Symbols,\u1d300,\u1d356
Counting Rod Numerals,\u1d360,\u1d371
Mathematical Alphanumeric Symbols,\u1d400,\u1d7ff
Mahjong Tiles,\u1f000,\u1f02b
Domino Tiles,\u1f030,\u1f093
Playing Cards,\u1f0a0,\u1f0df
Enclosed Alphanumeric Supplement,\u1f100,\u1f1ff
Enclosed Ideographic Supplement,\u1f200,\u1f251
Miscellaneous Symbols And Pictographs,\u1f300,\u1f5ff
Emoticons,\u1f601,\u1f64f
Transport And Map Symbols,\u1f680,\u1f6c5
Alchemical Symbols,\u1f700,\u1f773
CJK Unified Ideographs Extension B,\u20000,\u2a6d6
CJK Unified Ideographs Extension C,\u2a700,\u2b734
CJK Unified Ideographs Extension D,\u2b740,\u2b81d
CJK Compatibility Ideographs Supplement,\u2f800,\u2fa1d
Tags,\ue0001,\ue007f
Variation Selectors Supplement,\ue0100,\ue01ef
Supplementary Private Use Area-A,\uf0000,\uffffd
Supplementary Private Use Area-B,\u100000,\u10fffd
